prod_link,title,description,initialprice,offerprice,rating,reviews,Image1,Image2,Image3,Image4
"https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_2?ie=UTF8&adId=A08992392C3HJ1O5V1IFM&url=%2FAdmiria-Comfort-Sanitary-Pad-Napkins%2Fdp%2FB07QWK76XQ%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3Dpersonal%2Bhygiene%26qid%3D1590853050%26sr%3D8-54-spons%26psc%3D1&qualifier=1590853050&id=5156996051881824&widgetName=sp_btf
",['Admiria Comfort Sanitary Pad/Napkins - Regular (Pack of 40)'],"['', '', '', 'Dual cover double protection sheet for no leakages', '', 'Gel technology for instant absorption, bid bye to rewet', '', 'Delicate wings to free your movements', '', 'Fresh perfume parting to odours', '', '', '', '']", ? 180.00,? 150.00,3.5 out of 5 stars,744 ratings,https://images-na.ssl-images-amazon.com/images/I/41biZ3eHWUL.jpg,https://images-na.ssl-images-amazon.com/images/I/41NHlFGiiCL.jpg,https://images-na.ssl-images-amazon.com/images/I/51Oe4z1TxVL.jpg,https://images-na.ssl-images-amazon.com/images/I/411cWFch7nL.jpg
"https://www.amazon.in/Admiria-Comfort-Sanitary-Pad-Napkins/dp/B07QXJ6Q1R/ref=sr_1_123?dchild=1&keywords=personal+hygiene&qid=1590853052&sr=8-123
",['Admiria Perfumed Sanitary Pad / Napkins - Extra Large (XL) (Pack of 40)'],"['', '', '', 'Dual cover double protection sheet for no leakages', '', 'Gel technology for instant absorption, bid bye to rewet', '', 'Delicate wings to free your movements', '', 'Fresh perfume parting to odours', '', 'Wide back for extra protection', '', '', '', '']", ? 200.00,? 180.00,3.7 out of 5 stars,799 ratings,https://images-na.ssl-images-amazon.com/images/I/41cJQ5yAP1L.jpg,https://images-na.ssl-images-amazon.com/images/I/41ICqzQGX7L.jpg,https://images-na.ssl-images-amazon.com/images/I/5161uZS1Q4L.jpg,https://images-na.ssl-images-amazon.com/images/I/51Bb1QA4ArL.jpg
"https://www.amazon.in/Admiria-Ultra-Cloud-Sanitary-Napkins/dp/B07QWK76YD/ref=sr_1_261?dchild=1&keywords=personal+hygiene&qid=1590853052&sr=8-261
",['Admiria Ultra Thin Cloud Soft Sanitary Pad / Napkins - Extra Large (XL+) (Pack of 30)'],"['', '', '', 'Extra soft surface - extra gentle on skin', '', 'Gel technology for instant absorption, bid bye to rewet', '', 'Delicate wings to free your movements', '', 'Fresh perfume parting to odours', '', 'Dual cover double protection sheet for no leakages', '', '', '', '']", ? 275.00,? 190.00,4.0 out of 5 stars,262 ratings,https://images-na.ssl-images-amazon.com/images/I/41DATxilB-L.jpg,https://images-na.ssl-images-amazon.com/images/I/41rEzm3cFkL.jpg,https://images-na.ssl-images-amazon.com/images/I/514ZRcYR%2BbL.jpg,https://images-na.ssl-images-amazon.com/images/I/51bjSzoc-QL.jpg
"https://www.amazon.in/Allmax-Nutrition-Caffeine-200-Capsules/dp/B007XTP1ZA/ref=sr_1_79?crid=1NTDY3EZF5REZ&dchild=1&keywords=supplement&qid=1590854415&sprefix=suppl%2Caps%2C307&sr=8-79
",['Allmax Nutrition Caffeine - 200 g (100 Capsules)'],"['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'Caffeine can provide the energy you need to get through your workouts', '', 'Allmax nutrition', '', '', '', '']"," ? 1,199.00",? 790.00,4.3 out of 5 stars,541 ratings,https://images-na.ssl-images-amazon.com/images/I/51hgOKmYGrL.jpg,https://images-na.ssl-images-amazon.com/images/I/51GZOO9-yKL.jpg,https://images-na.ssl-images-amazon.com/images/I/414yZOKccpL.jpg,https://images-na.ssl-images-amazon.com/images/I/51IDyan7pxL.jpg
"https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_4?ie=UTF8&adId=A0656295VHM55S4WKMFT&url=%2FAmazon-Brand-Vedaka-Popular-Almonds%2Fdp%2FB07GQNLYBN%2Fref%3Dsr_1_100_sspa%3Fdchild%3D1%26keywords%3Dhealthy%2Bfoods%26qid%3D1592121377%26sr%3D8-100-spons%26psc%3D1&qualifier=1592121377&id=3911716607632430&widgetName=sp_atf_next
","['Amazon Brand - Vedaka Popular Whole Almonds, 200g']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'Vedaka Whole Almonds are crunchy, crispy and have a nutty flavour', '', 'Fresh almonds that are hygienically packed in facility meeting FSSAI food safety standards', '', 'Packed in food safe material', '', ""Quality Assured - Our products are rigorously tested against the industry's best quality standards"", '', 'Store in a cool, dry place in an airtight container and preferably refrigerate after opening', '', 'Packed in an integrated nuts & dried fruits unit and may contain occasional traces of other nuts & dried fruits', '', '', '', '']",,? 220.00,4.0 out of 5 stars,"1,590 ratings",https://images-na.ssl-images-amazon.com/images/I/51-Wp81YtOL.jpg,https://images-na.ssl-images-amazon.com/images/I/61HNmAr%2BL2L.jpg,https://images-na.ssl-images-amazon.com/images/I/51VLCEaIGdL.jpg,https://images-na.ssl-images-amazon.com/images/I/51X85vNST2L.jpg
"https://www.amazon.in/Ancy-Natural-Kashmiri-Walnuts-2X250Grams/dp/B07BJ82W8C/ref=sr_1_52?dchild=1&keywords=nutritious+food&qid=1592121114&sr=8-52
","['Ancy Foods Natural Kashmiri Walnuts, 2 X 250 g']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'Walnuts', '', '', '', '']", ? 980.00,? 649.00,3.2 out of 5 stars,"1,038 ratings",https://images-na.ssl-images-amazon.com/images/I/41xdIuxvsyL.jpg,https://images-na.ssl-images-amazon.com/images/I/51PrUyM9UAL.jpg,https://images-na.ssl-images-amazon.com/images/I/51PRPZJF%2BqL.jpg,https://images-na.ssl-images-amazon.com/images/I/41ZPeJGIIaL.jpg
"https://www.amazon.in/Azah-Ultra-Soft-Organic-Sanitary-Pads/dp/B07KB2X8FM/ref=sr_1_107?dchild=1&keywords=personal+hygiene&qid=1590853052&sr=8-107
",['Azah Ultra-soft Organic Sanitary Pads (Box of 15 Pads: 10 Regular and 5 XL)'],"['', '', '', 'Made with the finest organic cotton, ensuring a smooth velvety surface that prevents irritation or rashes.', '', 'A large surface area and an eco-friendly, non-toxic super-absorbent ensures an instant dry feeling even during heavy flow days.', '', 'Perforated layers allow air to circulate, eliminating moisture and heat.', '', 'Each pad comes in a disposal bag that is easy to carry.', '', 'India’s first MADE SAFE Certified Sanitary Pad - Tested to be free from harmful chemicals & skin irritants by Safe Cosmetics Australia.', '', '', '', '']",,? 289.00,4.6 out of 5 stars,270 ratings,https://images-na.ssl-images-amazon.com/images/I/41eOA4VxulL.jpg,https://images-na.ssl-images-amazon.com/images/I/41To58GwFiL.jpg,https://images-na.ssl-images-amazon.com/images/I/31fb2Xh5n8L.jpg,https://images-na.ssl-images-amazon.com/images/I/31X70HZLNlL.jpg
"https://www.amazon.in/Azah-Ultra-soft-Organic-Sanitary-12/dp/B07K9QT5K8/ref=sr_1_138?dchild=1&keywords=personal+hygiene&qid=1590853052&sr=8-138
",['Azah- Ultra-soft Organic Sanitary Pads (Box of 12 pads: All XL)'],"['', '', '', 'Made with the finest organic cotton, ensuring a smooth velvety surface that prevents irritation or rashes.', '', 'A large surface area and an eco-friendly, non-toxic super-absorbent ensures an instant dry feeling even during heavy flow days.', '', 'Perforated layers allow air to circulate, eliminating moisture and heat.', '', 'Each pad comes in a disposal bag that is easy to carry.', '', 'India’s first MADE SAFE Certified Sanitary Pad - Tested to be free from harmful chemicals & skin irritants by Safe Cosmetics Australia.', '', '', '', '']",,? 239.00,4.4 out of 5 stars,311 ratings,https://images-na.ssl-images-amazon.com/images/I/41eOA4VxulL.jpg,https://images-na.ssl-images-amazon.com/images/I/41To58GwFiL.jpg,https://images-na.ssl-images-amazon.com/images/I/31fb2Xh5n8L.jpg,https://images-na.ssl-images-amazon.com/images/I/31X70HZLNlL.jpg
"https://www.amazon.in/Azah-Ultra-soft-Organic-Sanitary-30/dp/B07K9SMF4L/ref=sr_1_44?dchild=1&keywords=personal+hygiene&qid=1590853050&sr=8-44
",['Azah- Ultra-soft Organic Sanitary Pads (Box of 30 pads: All XL)'],"['', '', '', 'Made with the finest organic cotton, ensuring a smooth velvety surface that prevents irritation or rashes.', '', 'A large surface area and an eco-friendly, non-toxic super-absorbent ensures an instant dry feeling even during heavy flow days.', '', 'Perforated layers allow air to circulate, eliminating moisture and heat.', '', 'Each pad comes in a disposal bag that is easy to carry.', '', 'India’s first MADE SAFE Certified Sanitary Pad - Tested to be free from harmful chemicals & skin irritants by Safe Cosmetics Australia.', '', '', '', '']",,? 519.00,4.7 out of 5 stars,211 ratings,https://images-na.ssl-images-amazon.com/images/I/41eOA4VxulL.jpg,https://images-na.ssl-images-amazon.com/images/I/31fb2Xh5n8L.jpg,https://images-na.ssl-images-amazon.com/images/I/31X70HZLNlL.jpg,https://images-na.ssl-images-amazon.com/images/I/41MKFKd0CkL.jpg
"https://www.amazon.in/BarADay-Hearty-Natural-Superfood-Assorted/dp/B07H39HX24/ref=sr_1_154?dchild=1&keywords=healthy+foods&qid=1592121377&sr=8-154
","['BarADay Hearty Bite Natural Energy Bars, 50 Gm (Assorted, Pack of 8)']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'Clean, Wholesome and Delicious Superfood Energy Bars: Healthy & Immunity boosting essential nutrition choice for all age groups', '', 'Made with Power-packed and Highly Nutritious Superfoods as Ingredients: Walnut, almonds, chia seeds, flax seeds, pumpkin seeds, black raisins, rolled oats, dates and natural raw honey', '', 'Topped with Antioxident rich, Delicious Flavour Choices: Cranberry, apricot and dark chocolate(70% cocoa)', '', 'No added sugars, no preservatives, no artificial flavours, no processed foods, no syrups, no oils, no hidden ingredients. Just natural, real & wholesome ingredients', '', 'Best Suitable For: Pre & post-workout, healthy snacking anytime, quick bite on-the-go and for daily essential nutrition', '', '', '', '']",,,4.1 out of 5 stars,131 ratings,https://images-na.ssl-images-amazon.com/images/I/512USjZBaxL.jpg,https://images-na.ssl-images-amazon.com/images/I/41ydlM1n7EL.jpg,https://images-na.ssl-images-amazon.com/images/I/31ocX4JQ4zL.jpg,https://images-na.ssl-images-amazon.com/images/I/410UsqMzfNL.jpg
