prod_link,title,description,initialprice,offerprice,rating,reviews,image1,image1,image2,image3,image4
"https://www.flipkart.com/abbott-follihair-nutraceutical/p/itmf5cpyndnqajat?pid=VSLF5BEGUNPXEZHA&lid=LSTVSLF5BEGUNPXEZHAYT3ISW&marketplace=FLIPKART&srno=s_8_308&otracker=search&fm=organic&iid=25395983-9967-4544-8c7c-84c53165a682.VSLF5BEGUNPXEZHA.SEARCH&ssid=g11wldoods0000001591353818285&qH=d9d7867deeb4e5b1
","['Abbott Follihair Nutraceutical', '\xa0\xa0(30 No)']","['Multi Vitamin Supplements', 'Tablet Form', 'Suitable For: Vegetarian', 'Pack of 1']","?,583",?490,4,502 Ratings ,background-image:url,https://rukminim1.flixcart.com/image/jhavdzk0/vitamin-supplement/z/h/a/30-follihair-nutraceutical-abbott-original-imaf5begwwksscbs.jpeg,https://rukminim1.flixcart.com/image/jhavdzk0/vitamin-supplement/z/h/a/30-follihair-nutraceutical-abbott-original-imaf5az8vjkvpzje.jpeg,https://rukminim1.flixcart.com/image/jhavdzk0/vitamin-supplement/z/h/a/30-follihair-nutraceutical-abbott-original-imaf5az8catpyph3.jpeg,https://rukminim1.flixcart.com/image/jhavdzk0/vitamin-supplement/z/h/a/30-follihair-nutraceutical-abbott-original-imaf5az8hwtukp6g.jpeg
"https://www.flipkart.com/abbott-new-follihair-biotin-10000-mcg-amino-acids-vitamins-minerals-natural-extracts/p/itmf7hbgcacctvbz?pid=VSLF7H4GDDZYUUHH&lid=LSTVSLF7H4GDDZYUUHHVPK68S&marketplace=FLIPKART&srno=s_16_623&otracker=search&fm=organic&iid=70ef76ec-5bc0-4f56-9d51-dabbde2d1a2e.VSLF7H4GDDZYUUHH.SEARCH&ssid=pi0guyc8hs0000001591352457192&qH=92241909a36d3a50
","['Abbott New Follihair Biotin 10000 MCG , Amino Acids, Vitamins Minerals & Natural Extracts', '\xa0\xa0(60 mg)']","['Multi Vitamin Supplements', 'Tablet Form', 'Suitable For: Vegetarian', 'Pack of 2']","?,1,100",?999,4.2,337 Ratings ,background-image:url,https://rukminim1.flixcart.com/image/jk1grrk0/vitamin-supplement/u/h/h/60-abfolli-abbott-original-imaf7hh6ja9dayet.jpeg,https://rukminim1.flixcart.com/image/jk1grrk0/vitamin-supplement/g/9/c/40-abfolli-abbott-original-imaf7hh6aaaqh3dk.jpeg,https://rukminim1.flixcart.com/image/jk1grrk0/vitamin-supplement/g/9/c/40-abfolli-abbott-original-imaf7hh6uhvgjupf.jpeg,https://rukminim1.flixcart.com/image/jk1grrk0/vitamin-supplement/g/9/c/40-abfolli-abbott-original-imaf7hh6q5c66cyg.jpeg
"https://www.flipkart.com/accumass-granules-525gm-60-capsules-weight-gainers-mass-gainers/p/itmfc4vxkzfdeftp?pid=BSTFC2VYUYTHWYZH&lid=LSTBSTFC2VYUYTHWYZHQDXN3F&marketplace=FLIPKART&srno=s_4_130&otracker=search&fm=organic&iid=en_yrOuhSdjeKkDZjvnUYVVKuRtk6GrxPgqhUcnGD%2B9UBKKUfj42f%2FkhtFiHeZGVwUaTQLPM29uev38wQy7fDz7bg%3D%3D&ssid=rnnqzg5hvk0000001591352187990&qH=8b7c9cfd991f599c
","['Accumass Granules 525gm & 60 Capsules Weight Gainers/Mass Gainers', '\xa0\xa0(525 g, Chocolate)']","['Form: Powder', 'Vegan', 'Usage As per Requirement', 'Protein Type: Weight Gainers/Mass Gainers', 'Dietary Preference: Wheat Free']","?,884",?569,3.8,817 Ratings ,background-image:url,https://rukminim1.flixcart.com/image/jq189e80/body-skin-treatment/y/z/h/525-granules-525gm-60-capsules-accumass-original-imafaahgjkaqgh6b.jpeg,https://rukminim1.flixcart.com/image/k6qsn0w0/protein-supplement/y/z/h/granules-525gm-60-capsules-dsaccombo-accumass-original-imafp4rhcny8fupm.jpeg,https://rukminim1.flixcart.com/image/k6qsn0w0/protein-supplement/y/z/h/granules-525gm-60-capsules-dsaccombo-accumass-original-imafp4rh8wjsy5hw.jpeg,
"https://www.flipkart.com/accumass-weight-gain-granules-525gm-gainers-mass-gainers/p/itmf7fd2cav5g3gz?pid=BSTF7F7D7CBFFSYH&lid=LSTBSTF7F7D7CBFFSYHKFU7AJ&marketplace=FLIPKART&srno=s_1_34&otracker=search&fm=organic&iid=en_uuLyctT9HISyYDFjACbvqDy0Apq%2B%2FA2b9SRdyIe3j0Q4%2Fw5YHro0GRh7Qdv4MD3fT5ajgQ4sod4VGRcDrCjEAw%3D%3D&ssid=kkionhm92o0000001591352186704&qH=8b7c9cfd991f599c
","['Accumass Weight Gain Granules 525gm Weight Gainers/Mass Gainers', '\xa0\xa0(525 g, Chocolate)']","['Form: Powder', 'Vegan', 'Usage As per Requirement', 'Protein Type: Weight Gainers/Mass Gainers', 'Dietary Preference: Wheat Free']","?,548",?390,3.9,857 Ratings ,background-image:url,https://rukminim1.flixcart.com/image/jjylw280/body-skin-treatment/s/y/h/525-weight-gain-granules-525gm-accumass-original-imaf7f6rmzxrgafv.jpeg,https://rukminim1.flixcart.com/image/k6qsn0w0/protein-supplement/s/y/h/weight-gain-granules-525gm-dsaccgr525gm-accumass-original-imafp4rhqy9zyhth.jpeg,https://rukminim1.flixcart.com/image/k6qsn0w0/protein-supplement/s/y/h/weight-gain-granules-525gm-dsaccgr525gm-accumass-original-imafp4rhpm6nkf9f.jpeg,
"https://www.flipkart.com/baidyanath-chyawanprash-special/p/itmfd9zmqxxjqzbp?pid=CHNFCKHBUSFZP9XQ&lid=LSTCHNFCKHBUSFZP9XQ509QB5&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=63a5b5ae-9a4b-4865-b83a-b078d840638e.CHNFCKHBUSFZP9XQ.SEARCH&ssid=3srlisyqe80000001591352454800&qH=92241909a36d3a50
","['Baidyanath Chyawanprash Special', '\xa0\xa0(1 kg)']",[],,?385,4.3,327 Ratings ,background-image:url,https://rukminim1.flixcart.com/image/jvzkb680/chyawanprash/9/x/q/1-chyawanprash-special-baidyanath-original-imafgrm5gyg5btxr.jpeg,https://rukminim1.flixcart.com/image/jvzkb680/chyawanprash/9/x/q/1-chyawanprash-special-baidyanath-original-imafgrm5tz5mzxwq.jpeg,https://rukminim1.flixcart.com/image/jvzkb680/chyawanprash/9/x/q/1-chyawanprash-special-baidyanath-original-imafd2c5mftngutj.jpeg,
"https://www.flipkart.com/best-choice-nutrition-vitamin-e-pack-50-capsules-face-hair-pimple-glowing-skin-care-better-than-evion/p/itmf6cvkjz7afhgy?pid=VSLF6CHBHHRMZHQZ&lid=LSTVSLF6CHBHHRMZHQZDSBYOQ&marketplace=FLIPKART&srno=s_7_277&otracker=search&fm=organic&iid=9c943179-5717-4256-8009-f05f998af164.VSLF6CHBHHRMZHQZ.SEARCH&ssid=1tr78o4o5c0000001591352456138&qH=92241909a36d3a50
","['best choice nutrition Vitamin E (Pack of 50 Capsules) Face Hair Pimple Glowing Skin & hair care better than Evion', '\xa0\xa0(50 No)']","['Vitamin E Supplements', 'Softgel Form', 'Suitable For: Vegetarian', 'Pack of 1']","?,995",?179,4,"1,659 Ratings ",background-image:url,https://rukminim1.flixcart.com/image/jim0x3k0/vitamin-supplement/h/q/z/50-vitamin-e-capsule-face-hair-pimple-glowing-skin-hair-care-original-imaf6a6w865gfd8b.jpeg,https://rukminim1.flixcart.com/image/jim0x3k0/vitamin-supplement/h/q/z/50-vitamin-e-capsule-face-hair-pimple-glowing-skin-hair-care-original-imaf623bnhyswtg2.jpeg,https://rukminim1.flixcart.com/image/jim0x3k0/vitamin-supplement/h/q/z/50-vitamin-e-capsule-face-hair-pimple-glowing-skin-hair-care-original-imaf624fbgu6uspg.jpeg,https://rukminim1.flixcart.com/image/jim0x3k0/vitamin-supplement/h/q/z/50-vitamin-e-capsule-face-hair-pimple-glowing-skin-hair-care-original-imaf624fn3etyzxm.jpeg
"https://www.flipkart.com/biotrex-nutraceuticals-amla-500mg/p/itmeskumunbd8c8w?pid=VSLESKUMZYGHEHFC&lid=LSTVSLESKUMZYGHEHFCLJLIFA&marketplace=FLIPKART&srno=s_1_28&otracker=search&fm=organic&iid=2db0c5e2-24dd-4f60-890d-24ae74bd3f5c.VSLESKUMZYGHEHFC.SEARCH&ssid=v4xzcusetc0000001591353708013&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Amla 500mg', '\xa0\xa0(60 No)']","['Special Supplements', 'Capsules Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,background-image:url,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/h/f/c/60-btnb0026-biotrex-nutraceuticals-original-imaesggufwr5yy7v.jpeg,https://rukminim1.flixcart.com/image/j9rdq4w0/vitamin-supplement/m/e/h/500-2btnb0026-biotrex-nutraceuticals-original-imaesggukharyz63.jpeg,https://rukminim1.flixcart.com/image/jsyyufk0/vitamin-supplement/a/n/y/60-guggul-250mg-60-capsules-biotrex-nutraceuticals-original-imaesggu8hpjryhx.jpeg,https://rukminim1.flixcart.com/image/jx3kn0w0/soap/v/b/z/3-225-antibacterial-soap-pack-of-3-dermal-original-imaf9253tzagtg9q.jpeg
"https://www.flipkart.com/biotrex-nutraceuticals-arjuna/p/itmeskumh6vzw8z3?pid=VSLESKUMNYH45NMH&lid=LSTVSLESKUMNYH45NMHIMT2DA&marketplace=FLIPKART&srno=s_3_105&otracker=search&fm=organic&iid=0a09b49a-62fb-4455-895a-a19d62559d23.VSLESKUMNYH45NMH.SEARCH&ssid=191ntutas00000001591353818681&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Arjuna', '\xa0\xa0(60 No)']","['Special Supplements', 'Capsules Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,background-image:url,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/n/m/h/60-btnb0027-biotrex-nutraceuticals-original-imaesggw8azcre6h.jpeg,https://rukminim1.flixcart.com/image/jsxjekw0/vitamin-supplement/m/2/p/60-arjuna-500mg-60-capsules-biotrex-nutraceuticals-original-imaesggxnjys4aej.jpeg,https://rukminim1.flixcart.com/image/jsyyufk0/vitamin-supplement/k/y/h/60-ashwagandha-250mg-60-capsules-biotrex-nutraceuticals-original-imaesggx8g53uhzh.jpeg,https://rukminim1.flixcart.com/image/jx3kn0w0/soap/v/b/z/3-225-antibacterial-soap-pack-of-3-dermal-original-imaf9253tzagtg9q.jpeg
"https://www.flipkart.com/biotrex-nutraceuticals-arjuna-powder/p/itmesyr787h6efan?pid=VSLESYR7AFPFTH8Z&lid=LSTVSLESYR7AFPFTH8ZRXCLLM&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=2db0c5e2-24dd-4f60-890d-24ae74bd3f5c.VSLESYR7AFPFTH8Z.SEARCH&ssid=v4xzcusetc0000001591353708013&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Arjuna Powder', '\xa0\xa0(200 g)']","['Special Supplements', 'Powder Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,,,,,
"https://www.flipkart.com/biotrex-nutraceuticals-ashwagandha-250mg/p/itmeskuntuwaqupg?pid=VSLESKUNWQ3CZXWM&lid=LSTVSLESKUNWQ3CZXWMANLN4T&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=2db0c5e2-24dd-4f60-890d-24ae74bd3f5c.VSLESKUNWQ3CZXWM.SEARCH&ssid=v4xzcusetc0000001591353708013&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Ashwagandha 250mg,', '\xa0\xa0(60 No)']","['Special Supplements', 'Capsules Form', 'Suitable For: Non-vegetarian', 'Pack of 1']",,,,,background-image:url,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/x/w/m/60-btnb0028-biotrex-nutraceuticals-original-imaesghfdgzwfgab.jpeg,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/x/w/m/60-btnb0028-biotrex-nutraceuticals-original-imaesgh2aqcz24wh.jpeg,https://rukminim1.flixcart.com/image/jsyyufk0/vitamin-supplement/a/n/y/60-guggul-250mg-60-capsules-biotrex-nutraceuticals-original-imaesggu8hpjryhx.jpeg,https://rukminim1.flixcart.com/image/jx3kn0w0/soap/v/b/z/3-225-antibacterial-soap-pack-of-3-dermal-original-imaf9253tzagtg9q.jpeg
